,Accuracy,F1,Accuracy,F1,Accuracy,F1,Accuracy,F1,Accuracy,F1,Accuracy,F1
XGBoost,0.671532847,0.80349345,0.711678832,0.801007557,0.854014599,0.893048128,0.784671533,0.852130326,0.802919708,0.863636364,0.821167883,0.869333333
Linear SVM,0.733576642,0.832951945,0.693430657,0.813333333,0.766423358,0.838383838,0.693430657,0.797101449,0.740875912,0.820253165,0.729927007,0.812182741
Poly. SVM,0.671532847,0.80349345,0.671532847,0.80349345,0.770072993,0.838046272,0.726277372,0.804177546,0.682481752,0.761643836,0.715328467,0.795811518
RBF SVM,0.624087591,0.75990676,0.638686131,0.762589928,0.777372263,0.84073107,0.715328467,0.798969072,0.700729927,0.783068783,0.711678832,0.798982188
Logistic Lasso,0.708029197,0.821428571,0.645985401,0.783964365,0.777372263,0.853012048,0.748175182,0.836879433,0.729927007,0.822966507,0.664233577,0.794642857
PLS + RBF SVM,0.624087591,0.762124711,0.635036496,0.764150943,0.784671533,0.85138539,0.726277372,0.80620155,0.744525547,0.825870647,0.791970803,0.852713178
PLS + Linear SVM,0.671532847,0.80349345,0.671532847,0.80349345,0.821167883,0.865753425,0.667883212,0.766066838,0.748175182,0.816976127,0.704379562,0.78961039
PLS + Poly. SVM,0.645985401,0.775981524,0.697080292,0.781002639,0.788321168,0.843243243,0.700729927,0.793969849,0.748175182,0.808864266,0.802919708,0.858638743
PLS + Logistic,0.700729927,0.805687204,0.697080292,0.789873418,0.784671533,0.843501326,0.737226277,0.818181818,0.649635036,0.747368421,0.806569343,0.862337662
Stacking: Logistic + XGB,0.686131387,0.810572687,0.667883212,0.785882353,0.791970803,0.850393701,0.722627737,0.811881188,0.733576642,0.821515892,0.791970803,0.853470437
Stacking: All,0.697080292,0.808314088,0.700729927,0.793969849,0.817518248,0.863387978,0.697080292,0.788804071,0.729927007,0.804232804,0.708029197,0.797979798
